y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.166,0,0.834
1,3,0.983,0,0.017
1,4,1,0,0
2,1,0,0,1
2,2,0.1455,0,0.8545
2,3,0.997,0,0.003
2,4,1,0,0
3,1,0,0,1
3,2,0.3055,0,0.6945
3,3,0.9985,0,0.0015
3,4,1,0,0
4,1,0,0,1
4,2,0.0005,0,0.9995
4,3,0.8265,0,0.1735
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.0205,0,0.9795
5,4,0.854,0,0.146
6,1,0,0.0085,0.9915
6,2,0,0.025,0.975
6,3,0,0.084,0.916
6,4,0.0745,0.216,0.7095
7,1,0,0.0175,0.9825
7,2,0,0.731,0.269
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0185,0.9815
8,3,0,0.976,0.024
8,4,0,1,0
9,1,0,0.004,0.996
9,2,0,0.7015,0.2985
9,3,0,0.994,0.006
9,4,0,1,0
10,1,0,0,1
10,2,0,0.007,0.993
10,3,0,0.693,0.307
10,4,0,0.965,0.035
