y,fzone,punt,kick,gofor
1,1,0.2095,0,0.7905
1,2,0.9795,0,0.0205
1,3,1,0,0
1,4,1,0,0
2,1,0.1275,0,0.8725
2,2,0.9755,0,0.0245
2,3,1,0,0
2,4,1,0,0
3,1,0.3915,0,0.6085
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.066,0,0.934
4,2,0.9725,0,0.0275
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.1455,0,0.8545
5,3,0.997,0,0.003
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.027,0.973
6,3,0.471,0.078,0.451
6,4,0.9085,0.0895,0.002
7,1,0,0.4355,0.5645
7,2,0,0.9955,0.0045
7,3,0,1,0
7,4,0,1,0
8,1,0,0.2525,0.7475
8,2,0,0.9965,0.0035
8,3,0,1,0
8,4,0,1,0
9,1,0,0.887,0.113
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.121,0.879
10,2,0,0.9625,0.0375
10,3,0,0.9995,0.0005
10,4,0,1,0
