y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.4,0,0.6
1,3,0.9985,0,0.0015
1,4,1,0,0
2,1,0.0005,0,0.9995
2,2,0.3445,0,0.6555
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0035,0,0.9965
3,2,0.614,0,0.386
3,3,0.9995,0,0.0005
3,4,1,0,0
4,1,0,0,1
4,2,0.0185,0,0.9815
4,3,0.978,0,0.022
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.134,0,0.866
5,4,0.973,0,0.027
6,1,0,0.009,0.991
6,2,0,0.025,0.975
6,3,0,0.084,0.916
6,4,0.2,0.207,0.593
7,1,0,0.046,0.954
7,2,0,0.865,0.135
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.1765,0.8235
8,3,0,0.998,0.002
8,4,0,1,0
9,1,0,0.043,0.957
9,2,0,0.9125,0.0875
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.06,0.94
10,3,0,0.872,0.128
10,4,0,0.986,0.014
