y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0095,0,0.9905
1,3,0.7835,0,0.2165
1,4,0.998,0,0.002
2,1,0,0,1
2,2,0.037,0,0.963
2,3,0.963,0,0.037
2,4,1,0,0
3,1,0,0,1
3,2,0.116,0,0.884
3,3,0.9955,0,0.0045
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.6055,0,0.3945
4,4,0.998,0,0.002
5,1,0,0,1
5,2,0,0,1
5,3,0.005,0,0.995
5,4,0.7055,0,0.2945
6,1,0,0.008,0.992
6,2,0,0.025,0.975
6,3,0,0.0835,0.9165
6,4,0.037,0.2165,0.7465
7,1,0,0.0085,0.9915
7,2,0,0.6445,0.3555
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0045,0.9955
8,3,0,0.9425,0.0575
8,4,0,1,0
9,1,0,0.0005,0.9995
9,2,0,0.581,0.419
9,3,0,0.9875,0.0125
9,4,0,0.9995,0.0005
10,1,0,0,1
10,2,0,0.002,0.998
10,3,0,0.602,0.398
10,4,0,0.953,0.047
