y,fzone,punt,kick,gofor
1,1,0.462,0,0.538
1,2,0.9975,0,0.0025
1,3,1,0,0
1,4,1,0,0
2,1,0.348,0,0.652
2,2,0.9975,0,0.0025
2,3,1,0,0
2,4,1,0,0
3,1,0.6675,0,0.3325
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.1925,0,0.8075
4,2,0.995,0,0.005
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.33,0,0.67
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.0115,0.9885
6,2,0,0.0345,0.9655
6,3,0.6135,0.0835,0.303
6,4,0.909,0.0895,0.0015
7,1,0,0.6325,0.3675
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.419,0.581
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9445,0.0555
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.15,0.85
10,2,0,0.981,0.019
10,3,0,1,0
10,4,0,1,0
