y,fzone,punt,kick,gofor
1,1,0.591,0,0.409
1,2,0.9995,0,0.0005
1,3,1,0,0
1,4,1,0,0
2,1,0.6365,0,0.3635
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.95,0,0.05
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.799,0,0.201
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.102,0,0.898
5,2,0.9765,0,0.0235
5,3,1,0,0
5,4,1,0,0
6,1,0,0.014,0.986
6,2,0.21,0.0365,0.7535
6,3,0.9485,0.05,0.0015
6,4,0.95,0.05,0
7,1,0,0.9055,0.0945
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9535,0.0465
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9995,0.0005
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.915,0.085
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
