y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.2065,0,0.7935
1,3,0.988,0,0.012
1,4,1,0,0
2,1,0,0,1
2,2,0.191,0,0.809
2,3,0.9975,0,0.0025
2,4,1,0,0
3,1,0.001,0,0.999
3,2,0.4015,0,0.5985
3,3,0.999,0,0.001
3,4,1,0,0
4,1,0,0,1
4,2,0.0015,0,0.9985
4,3,0.9105,0,0.0895
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.04,0,0.96
5,4,0.912,0,0.088
6,1,0,0.0085,0.9915
6,2,0,0.0255,0.9745
6,3,0,0.085,0.915
6,4,0.1155,0.2125,0.672
7,1,0,0.0255,0.9745
7,2,0,0.8045,0.1955
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0555,0.9445
8,3,0,0.9915,0.0085
8,4,0,1,0
9,1,0,0.013,0.987
9,2,0,0.8165,0.1835
9,3,0,0.9975,0.0025
9,4,0,1,0
10,1,0,0,1
10,2,0,0.0265,0.9735
10,3,0,0.7765,0.2235
10,4,0,0.976,0.024
