y,fzone,punt,kick,gofor
1,1,0.5095,0,0.4905
1,2,0.9985,0,0.0015
1,3,1,0,0
1,4,1,0,0
2,1,0.39,0,0.61
2,2,0.9985,0,0.0015
2,3,1,0,0
2,4,1,0,0
3,1,0.7195,0,0.2805
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.25,0,0.75
4,2,0.9965,0,0.0035
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.407,0,0.593
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.0115,0.9885
6,2,0,0.0345,0.9655
6,3,0.668,0.0825,0.2495
6,4,0.913,0.0865,0.0005
7,1,0,0.658,0.342
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.4685,0.5315
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9575,0.0425
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.177,0.823
10,2,0,0.985,0.015
10,3,0,1,0
10,4,0,1,0
