y,fzone,punt,kick,gofor
1,1,0.0355,0,0.9645
1,2,0.8315,0,0.1685
1,3,1,0,0
1,4,1,0,0
2,1,0.0195,0,0.9805
2,2,0.822,0,0.178
2,3,1,0,0
2,4,1,0,0
3,1,0.072,0,0.928
3,2,0.9695,0,0.0305
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.515,0,0.485
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.7715,0,0.2285
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.0265,0.9735
6,3,0.014,0.09,0.896
6,4,0.7165,0.159,0.1245
7,1,0,0.2145,0.7855
7,2,0,0.979,0.021
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0125,0.9875
8,2,0,0.8515,0.1485
8,3,0,1,0
8,4,0,1,0
9,1,0,0.44,0.56
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.001,0.999
10,2,0,0.533,0.467
10,3,0,0.9875,0.0125
10,4,0,0.9995,0.0005
