y,fzone,punt,kick,gofor
1,1,0.374,0,0.626
1,2,0.994,0,0.006
1,3,1,0,0
1,4,1,0,0
2,1,0.28,0,0.72
2,2,0.9945,0,0.0055
2,3,1,0,0
2,4,1,0,0
3,1,0.606,0,0.394
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.148,0,0.852
4,2,0.992,0,0.008
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.2565,0,0.7435
5,3,0.9985,0,0.0015
5,4,1,0,0
6,1,0,0.012,0.988
6,2,0,0.034,0.966
6,3,0.5385,0.085,0.3765
6,4,0.905,0.0935,0.0015
7,1,0,0.6415,0.3585
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.4315,0.5685
8,2,0,0.9995,0.0005
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9495,0.0505
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.159,0.841
10,2,0,0.982,0.018
10,3,0,1,0
10,4,0,1,0
