y,fzone,punt,kick,gofor
1,1,0.9825,0,0.0175
1,2,0.999,0,0.001
1,3,1,0,0
1,4,1,0,0
2,1,0.983,0,0.017
2,2,0.9955,0,0.0045
2,3,1,0,0
2,4,1,0,0
3,1,0.9905,0,0.0095
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.978,0,0.022
4,2,0.997,0,0.003
4,3,1,0,0
4,4,1,0,0
5,1,0.604,0,0.396
5,2,0.995,0,0.005
5,3,0.9965,0,0.0035
5,4,0.997,0,0.003
6,1,0.0305,0.0145,0.955
6,2,0.838,0.0265,0.1355
6,3,0.9685,0.0265,0.005
6,4,0.9705,0.0265,0.003
7,1,0,0.9235,0.0765
7,2,0,0.998,0.002
7,3,0,1,0
7,4,0,1,0
8,1,0,0.95,0.05
8,2,0,0.9985,0.0015
8,3,0,1,0
8,4,0,1,0
9,1,0,0.995,0.005
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.9225,0.0775
10,2,0,0.9965,0.0035
10,3,0,0.9995,0.0005
10,4,0,1,0
