y,fzone,punt,kick,gofor
1,1,0.0025,0,0.9975
1,2,0.5625,0,0.4375
1,3,1,0,0
1,4,1,0,0
2,1,0.002,0,0.998
2,2,0.531,0,0.469
2,3,1,0,0
2,4,1,0,0
3,1,0.0085,0,0.9915
3,2,0.8015,0,0.1985
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.098,0,0.902
4,3,0.997,0,0.003
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.301,0,0.699
5,4,0.993,0,0.007
6,1,0,0.0095,0.9905
6,2,0,0.027,0.973
6,3,0,0.089,0.911
6,4,0.364,0.2015,0.4345
7,1,0,0.107,0.893
7,2,0,0.934,0.066
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.4725,0.5275
8,3,0,1,0
8,4,0,1,0
9,1,0,0.145,0.855
9,2,0,0.976,0.024
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.202,0.798
10,3,0,0.9455,0.0545
10,4,0,0.995,0.005
