y,fzone,punt,kick,gofor
1,1,0.034,0,0.966
1,2,0.8265,0,0.1735
1,3,1,0,0
1,4,1,0,0
2,1,0.019,0,0.981
2,2,0.8115,0,0.1885
2,3,1,0,0
2,4,1,0,0
3,1,0.0665,0,0.9335
3,2,0.9655,0,0.0345
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.4855,0,0.5145
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.742,0,0.258
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.0275,0.9725
6,3,0.0115,0.09,0.8985
6,4,0.69,0.161,0.149
7,1,0,0.212,0.788
7,2,0,0.9785,0.0215
7,3,0,1,0
7,4,0,1,0
8,1,0,0.011,0.989
8,2,0,0.8315,0.1685
8,3,0,1,0
8,4,0,1,0
9,1,0,0.4095,0.5905
9,2,0,0.998,0.002
9,3,0,1,0
9,4,0,1,0
10,1,0,0.001,0.999
10,2,0,0.488,0.512
10,3,0,0.9845,0.0155
10,4,0,0.9995,0.0005
