y,fzone,punt,kick,gofor
1,1,0.0495,0,0.9505
1,2,0.87,0,0.13
1,3,1,0,0
1,4,1,0,0
2,1,0.028,0,0.972
2,2,0.87,0,0.13
2,3,1,0,0
2,4,1,0,0
3,1,0.1025,0,0.8975
3,2,0.9805,0,0.0195
3,3,1,0,0
3,4,1,0,0
4,1,0.0015,0,0.9985
4,2,0.602,0,0.398
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0005,0,0.9995
5,3,0.823,0,0.177
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.021,0.091,0.888
6,4,0.75,0.1555,0.0945
7,1,0,0.256,0.744
7,2,0,0.983,0.017
7,3,0,1,0
7,4,0,1,0
8,1,0,0.021,0.979
8,2,0,0.895,0.105
8,3,0,1,0
8,4,0,1,0
9,1,0,0.4905,0.5095
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.587,0.413
10,3,0,0.989,0.011
10,4,0,0.9995,0.0005
