y,fzone,punt,kick,gofor
1,1,0.4,0,0.6
1,2,0.9945,0,0.0055
1,3,1,0,0
1,4,1,0,0
2,1,0.285,0,0.715
2,2,0.9955,0,0.0045
2,3,1,0,0
2,4,1,0,0
3,1,0.605,0,0.395
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.1425,0,0.8575
4,2,0.9915,0,0.0085
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.2415,0,0.7585
5,3,0.9985,0,0.0015
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0,0.033,0.967
6,3,0.522,0.0845,0.3935
6,4,0.9055,0.0925,0.002
7,1,0,0.571,0.429
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.3285,0.6715
8,2,0,0.998,0.002
8,3,0,1,0
8,4,0,1,0
9,1,0,0.923,0.077
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1015,0.8985
10,2,0,0.965,0.035
10,3,0,0.9995,0.0005
10,4,0,1,0
