y,fzone,punt,kick,gofor
1,1,0.9155,0,0.0845
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.8765,0,0.1235
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.9785,0,0.0215
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.8375,0,0.1625
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.0875,0,0.9125
5,2,0.9695,0,0.0305
5,3,1,0,0
5,4,1,0,0
6,1,0,0.014,0.986
6,2,0.153,0.038,0.809
6,3,0.9465,0.0515,0.002
6,4,0.9485,0.0515,0
7,1,0,0.8765,0.1235
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9015,0.0985
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9985,0.0015
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.743,0.257
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
