y,fzone,punt,kick,gofor
1,1,0.995,0,0.005
1,2,0.9995,0,0.0005
1,3,1,0,0
1,4,1,0,0
2,1,0.9905,0,0.0095
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.995,0,0.005
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.988,0,0.012
4,2,0.997,0,0.003
4,3,1,0,0
4,4,1,0,0
5,1,0.7565,0,0.2435
5,2,0.995,0,0.005
5,3,0.9965,0,0.0035
5,4,0.997,0,0.003
6,1,0.0635,0.017,0.9195
6,2,0.896,0.0275,0.0765
6,3,0.9675,0.0275,0.005
6,4,0.9695,0.028,0.0025
7,1,0,0.964,0.036
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9795,0.0205
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.998,0.002
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.9725,0.0275
10,2,0,0.998,0.002
10,3,0,1,0
10,4,0,1,0
