y,fzone,punt,kick,gofor
1,1,0.134,0,0.866
1,2,0.9555,0,0.0445
1,3,1,0,0
1,4,1,0,0
2,1,0.072,0,0.928
2,2,0.9525,0,0.0475
2,3,1,0,0
2,4,1,0,0
3,1,0.265,0,0.735
3,2,0.996,0,0.004
3,3,1,0,0
3,4,1,0,0
4,1,0.025,0,0.975
4,2,0.9255,0,0.0745
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.0485,0,0.9515
5,3,0.9905,0,0.0095
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.028,0.972
6,3,0.283,0.0825,0.6345
6,4,0.893,0.102,0.005
7,1,0,0.413,0.587
7,2,0,0.995,0.005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.2125,0.7875
8,2,0,0.9945,0.0055
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8555,0.1445
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0935,0.9065
10,2,0,0.94,0.06
10,3,0,0.9995,0.0005
10,4,0,1,0
