y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.407,0,0.593
1,3,0.9985,0,0.0015
1,4,1,0,0
2,1,0.0005,0,0.9995
2,2,0.356,0,0.644
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0035,0,0.9965
3,2,0.632,0,0.368
3,3,0.9995,0,0.0005
3,4,1,0,0
4,1,0,0,1
4,2,0.0225,0,0.9775
4,3,0.9815,0,0.0185
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.1575,0,0.8425
5,4,0.9755,0,0.0245
6,1,0,0.009,0.991
6,2,0,0.0255,0.9745
6,3,0,0.0845,0.9155
6,4,0.2325,0.2065,0.561
7,1,0,0.0505,0.9495
7,2,0,0.881,0.119
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.2345,0.7655
8,3,0,0.998,0.002
8,4,0,1,0
9,1,0,0.0605,0.9395
9,2,0,0.9345,0.0655
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.093,0.907
10,3,0,0.9005,0.0995
10,4,0,0.9875,0.0125
