y,fzone,punt,kick,gofor
1,1,0.5105,0,0.4895
1,2,0.9985,0,0.0015
1,3,1,0,0
1,4,1,0,0
2,1,0.3855,0,0.6145
2,2,0.9985,0,0.0015
2,3,1,0,0
2,4,1,0,0
3,1,0.7105,0,0.2895
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.245,0,0.755
4,2,0.9965,0,0.0035
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.402,0,0.598
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0,0.0335,0.9665
6,3,0.6665,0.0815,0.252
6,4,0.915,0.0845,0.0005
7,1,0,0.6155,0.3845
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.403,0.597
8,2,0,0.9995,0.0005
8,3,0,1,0
8,4,0,1,0
9,1,0,0.942,0.058
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.142,0.858
10,2,0,0.98,0.02
10,3,0,1,0
10,4,0,1,0
