y,fzone,punt,kick,gofor
1,1,0.015,0,0.985
1,2,0.736,0,0.264
1,3,1,0,0
1,4,1,0,0
2,1,0.009,0,0.991
2,2,0.711,0,0.289
2,3,1,0,0
2,4,1,0,0
3,1,0.0365,0,0.9635
3,2,0.933,0,0.067
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.309,0,0.691
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.593,0,0.407
5,4,0.9975,0,0.0025
6,1,0,0.0095,0.9905
6,2,0,0.027,0.973
6,3,0.0025,0.0895,0.908
6,4,0.5955,0.1725,0.232
7,1,0,0.1645,0.8355
7,2,0,0.97,0.03
7,3,0,1,0
7,4,0,1,0
8,1,0,0.005,0.995
8,2,0,0.73,0.27
8,3,0,1,0
8,4,0,1,0
9,1,0,0.3035,0.6965
9,2,0,0.9935,0.0065
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0005,0.9995
10,2,0,0.3715,0.6285
10,3,0,0.9765,0.0235
10,4,0,0.999,0.001
