y,fzone,punt,kick,gofor
1,1,0.003,0,0.997
1,2,0.587,0,0.413
1,3,1,0,0
1,4,1,0,0
2,1,0.002,0,0.998
2,2,0.533,0,0.467
2,3,1,0,0
2,4,1,0,0
3,1,0.0095,0,0.9905
3,2,0.8025,0,0.1975
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.1025,0,0.8975
4,3,0.997,0,0.003
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.326,0,0.674
5,4,0.994,0,0.006
6,1,0,0.0095,0.9905
6,2,0,0.0255,0.9745
6,3,0.0005,0.0865,0.913
6,4,0.392,0.198,0.41
7,1,0,0.0955,0.9045
7,2,0,0.9285,0.0715
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0005,0.9995
8,2,0,0.4555,0.5445
8,3,0,1,0
8,4,0,1,0
9,1,0,0.135,0.865
9,2,0,0.9745,0.0255
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.189,0.811
10,3,0,0.942,0.058
10,4,0,0.995,0.005
