y,fzone,punt,kick,gofor
1,1,0.0835,0,0.9165
1,2,0.9265,0,0.0735
1,3,1,0,0
1,4,1,0,0
2,1,0.053,0,0.947
2,2,0.939,0,0.061
2,3,1,0,0
2,4,1,0,0
3,1,0.217,0,0.783
3,2,0.994,0,0.006
3,3,1,0,0
3,4,1,0,0
4,1,0.017,0,0.983
4,2,0.899,0,0.101
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.028,0,0.972
5,3,0.984,0,0.016
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0,0.032,0.968
6,3,0.207,0.094,0.699
6,4,0.873,0.1195,0.0075
7,1,0,0.5135,0.4865
7,2,0,0.9975,0.0025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.3245,0.6755
8,2,0,0.998,0.002
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9095,0.0905
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1435,0.8565
10,2,0,0.968,0.032
10,3,0,0.9995,0.0005
10,4,0,1,0
