y,fzone,punt,kick,gofor
1,1,0.981,0,0.019
1,2,0.9915,0,0.0085
1,3,1,0,0
1,4,1,0,0
2,1,0.9825,0,0.0175
2,2,0.989,0,0.011
2,3,1,0,0
2,4,1,0,0
3,1,0.9885,0,0.0115
3,2,0.9965,0,0.0035
3,3,1,0,0
3,4,1,0,0
4,1,0.9795,0,0.0205
4,2,0.992,0,0.008
4,3,0.997,0,0.003
4,4,1,0,0
5,1,0.6395,0,0.3605
5,2,0.995,0,0.005
5,3,0.9965,0,0.0035
5,4,0.997,0,0.003
6,1,0.046,0.017,0.937
6,2,0.8805,0.0275,0.092
6,3,0.9675,0.0275,0.005
6,4,0.969,0.028,0.003
7,1,0,0.961,0.039
7,2,0,0.9985,0.0015
7,3,0,1,0
7,4,0,1,0
8,1,0,0.976,0.024
8,2,0,0.9995,0.0005
8,3,0,1,0
8,4,0,1,0
9,1,0,0.995,0.005
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.974,0.026
10,2,0,0.996,0.004
10,3,0,0.9995,0.0005
10,4,0,0.9995,0.0005
